City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,saipan,15.1355,145.701,26.47,100,40,8.23,MP,1681842542
83,fort st. john,56.2499,-120.8529,7.94,31,40,6.17,CA,1681842741
84,perry,37.2506,-83.1999,24.1,39,5,5.42,US,1681842623
85,blackmans bay,-43.0167,147.3167,13.07,83,100,2.0,AU,1681842741
86,woolgoolga,-30.1106,153.2007,17.93,74,95,3.35,AU,1681842741
87,vorgashor,67.5833,63.95,-21.94,98,19,2.58,RU,1681842741
88,dubbo,-32.25,148.6167,14.07,82,100,5.66,AU,1681842741
89,port mathurin,-19.6833,63.4167,26.39,75,9,9.26,MU,1681842742
90,kodiak,57.79,-152.4072,1.73,48,0,5.66,US,1681842742
91,georgetown,5.4112,100.3354,27.75,94,20,2.57,MY,1681842584
92,labrador city,52.9463,-66.9114,2.95,87,100,4.12,CA,1681842742
93,enewetak,11.3474,162.3373,27.0,74,100,8.64,MH,1681842742
94,chonchi,-42.6128,-73.8092,16.18,91,100,1.8,CL,1681842742
95,iqaluit,63.7506,-68.5145,-13.15,71,75,8.23,CA,1681842577
96,papatowai,-46.5619,169.4708,12.09,89,100,4.59,NZ,1681842742
97,stephenville,32.2207,-98.2023,22.36,79,100,6.69,US,1681842742
98,lihue,21.9789,-159.3672,23.77,81,75,7.72,US,1681842742
99,lodwar,3.1191,35.5973,30.73,47,98,7.14,KE,1681842743
100,guerrero negro,27.9769,-114.0611,17.31,59,100,8.54,MX,1681842743
101,mejit,10.2753,170.8646,26.66,78,100,6.39,MH,1681842743
102,i-n-salah,27.1935,2.4607,31.01,7,0,3.5,DZ,1681842743
103,fujin,47.26,132.0322,6.52,85,100,1.96,CN,1681842743
104,pauini,-7.7136,-66.9764,32.96,47,96,1.87,BR,1681842743
105,san patricio,28.017,-97.5169,27.92,77,52,10.86,US,1681842743
106,mawlaik,23.6333,94.4167,26.86,35,0,0.55,MM,1681842743
107,haikou,20.0458,110.3417,27.07,78,0,4.0,CN,1681842743
108,ribeira brava,32.65,-17.0667,21.51,78,60,1.13,PT,1681842744
109,zabaykal'sk,49.6333,117.3167,0.87,26,100,3.24,RU,1681842744
110,thunder bay,48.4001,-89.3168,2.99,56,75,8.23,CA,1681842472
111,luanda,-8.8368,13.2343,28.0,83,40,4.12,AO,1681842368
112,georgiyevka,43.0369,74.7114,2.02,93,40,0.0,KZ,1681842744
113,luderitz,-26.6481,15.1594,20.75,47,0,1.6,NA,1681842358
114,badger,64.8,-147.5333,-3.07,60,75,8.23,US,1681842744
115,mathba,22.2855,89.9629,26.76,88,0,3.28,BD,1681842745
116,adrar,20.5022,-10.0711,31.97,19,56,4.74,MR,1681842745
117,fort-shevchenko,44.5086,50.263,12.72,32,83,9.48,KZ,1681842745
118,itacare,-14.2775,-38.9967,28.34,74,92,4.71,BR,1681842745
119,jalalabad,34.4265,70.4515,19.03,73,100,3.43,AF,1681842745
120,sarangani,5.4033,125.4636,28.24,73,5,5.23,PH,1681842745
121,vilyuchinsk,52.9306,158.4028,1.15,96,100,3.83,RU,1681842745
122,angel r. cabada,18.5833,-95.4333,31.62,50,2,3.55,MX,1681842746
123,reyes,-14.3167,-67.3833,31.91,48,79,3.2,BO,1681842746
124,ko lanta,7.5336,99.0865,28.5,71,57,3.55,TH,1681842746
125,swakopmund,-22.6833,14.5333,20.52,64,45,4.61,NA,1681842184
126,harstad,68.799,16.5293,6.2,99,100,8.49,NO,1681842746
127,utrik,11.2278,169.8474,26.55,79,100,7.0,MH,1681842747
128,castillos,-34.1667,-53.8333,16.76,48,26,7.35,UY,1681842747
129,megion,61.0296,76.1136,-12.99,97,93,5.04,RU,1681842747
130,sheopur,25.6667,76.7,31.02,19,2,3.19,IN,1681842747
131,severnoye,56.3491,78.3619,-10.11,83,13,2.65,RU,1681842747
132,puerto ayora,-0.7393,-90.3518,29.98,89,71,1.79,EC,1681842747
133,rongelap,11.1635,166.8941,26.64,80,100,8.06,MH,1681842747
134,beibei,29.8256,106.4339,21.87,92,14,0.52,CN,1681842747
135,raduzhny,62.0961,77.475,-12.54,96,100,3.68,RU,1681842747
136,antsiranana,-12.2787,49.2917,25.58,82,19,5.2,MG,1681842748
137,deniliquin,-35.5333,144.9667,13.04,72,100,2.13,AU,1681842748
138,mount gambier,-37.8333,140.7667,12.12,73,100,4.32,AU,1681842748
139,sirte,31.2089,16.5887,16.85,64,1,3.48,LY,1681842748
140,mount pearl,47.5166,-52.7813,5.53,74,75,4.63,CA,1681842748
141,wynyard,-41.0,145.7167,11.66,92,99,3.96,AU,1681842748
142,genhe,50.7833,121.5167,-4.22,80,65,1.11,CN,1681842748
143,lompoc,34.6391,-120.4579,20.01,67,20,8.94,US,1681842749
144,palangkaraya,-2.2,113.8333,24.07,94,100,0.97,ID,1681842749
145,maham,28.9833,76.3,29.98,23,30,0.87,IN,1681842749
146,al artawiyah,26.5053,45.3444,23.83,49,100,4.22,SA,1681842749
147,bad frankenhausen,51.35,11.1,10.38,77,100,5.34,DE,1681842749
148,cobadin,44.0833,28.2167,9.81,83,90,2.33,RO,1681842749
149,kaharlyk,49.8623,30.8282,7.69,79,100,3.65,UA,1681842749
150,palmer,42.1584,-72.3287,12.47,51,75,6.69,US,1681842749
151,aykhal,66.0,111.5,-6.95,96,100,5.56,RU,1681842749
152,esil,51.9556,66.4042,3.04,90,100,1.39,KZ,1681842750
153,westport,41.1415,-73.3579,13.83,50,100,7.2,US,1681842750
154,floro,61.5996,5.0328,15.13,76,0,2.57,NO,1681842750
155,iwaki,37.05,140.8833,11.54,96,33,2.26,JP,1681842750
156,kingston,17.997,-76.7936,30.69,69,20,4.63,JM,1681842750
157,sao vicente,-23.9631,-46.3919,27.75,60,0,2.24,BR,1681842362
158,krasnoural'sk,58.3638,60.0407,-2.33,66,0,2.54,RU,1681842751
159,lamar,33.6668,-95.5836,24.43,58,100,8.23,US,1681842751
160,rikaze,29.25,88.8833,7.17,34,0,2.16,CN,1681842751
161,viqueque,-8.8673,126.3658,24.76,90,87,1.76,TL,1681842751
162,maintirano,-18.0667,44.0167,26.6,80,0,4.18,MG,1681842751
163,opuwo,-18.0607,13.84,23.18,44,64,3.04,NA,1681842752
164,st. john's,47.5649,-52.7093,5.99,74,75,4.63,CA,1681842608
165,oamaru,-45.0784,170.9801,12.34,89,59,1.27,NZ,1681842232
166,turrialba,9.9047,-83.6835,34.91,60,100,2.76,CR,1681842752
167,gogrial,8.5332,28.1004,32.4,37,7,2.43,SS,1681842753
168,egilsstadir,65.2653,-14.3948,10.95,71,75,4.12,IS,1681842753
169,udachny,66.4167,112.4,-8.01,96,99,5.45,RU,1681842753
170,carnarvon,-24.8667,113.6333,23.15,36,6,6.64,AU,1681842753
171,ribeira grande,38.5167,-28.7,15.22,72,75,5.14,PT,1681842753
172,hawaiian paradise park,19.5933,-154.9731,24.39,90,40,0.0,US,1681842754
173,port saint john's,-31.6229,29.5448,20.99,83,0,2.1,ZA,1681842754
174,klyuchi,52.2667,79.1667,-2.25,97,100,1.28,RU,1681842754
